run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
72,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2021-11-04,2025-10-01,2025-10-06,2025-10-06,4,2,48,ma,2
72,random_forest,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-11-04,2025-10-01,2025-10-06,2025-10-06,4,2,48,ma,2
73,xgboost,1,0.15,0.0,1,1,0,1.0,0.0,980,2021-11-03,2025-09-30,2025-10-03,2025-10-03,4,2,48,ma,2
73,random_forest,1,0.5,1.0,1,1,0,1.0,0.0,980,2021-11-03,2025-09-30,2025-10-03,2025-10-03,4,2,48,ma,2
74,xgboost,1,0.25,0.0,1,1,0,1.0,0.0,980,2021-11-02,2025-09-29,2025-10-02,2025-10-02,4,2,48,ma,2
74,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-11-02,2025-09-29,2025-10-02,2025-10-02,4,2,48,ma,2
75,xgboost,1,0.3,1.0,1,0,1,0.0,1.0,980,2021-11-01,2025-09-26,2025-10-01,2025-10-01,4,2,48,ma,2
75,random_forest,1,0.4,1.0,1,0,1,0.0,1.0,980,2021-11-01,2025-09-26,2025-10-01,2025-10-01,4,2,48,ma,2
76,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2021-10-29,2025-09-25,2025-09-30,2025-09-30,4,2,48,ma,2
76,random_forest,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-10-29,2025-09-25,2025-09-30,2025-09-30,4,2,48,ma,2
77,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2021-10-28,2025-09-24,2025-09-29,2025-09-29,4,2,48,ma,2
77,random_forest,1,0.15,0.0,1,1,0,1.0,0.0,980,2021-10-28,2025-09-24,2025-09-29,2025-09-29,4,2,48,ma,2
78,xgboost,1,0.05,0.0,1,1,0,1.0,0.0,980,2021-10-27,2025-09-23,2025-09-26,2025-09-26,4,2,48,ma,2
78,random_forest,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-10-27,2025-09-23,2025-09-26,2025-09-26,4,2,48,ma,2
79,xgboost,1,0.75,1.0,1,1,0,1.0,0.0,980,2021-10-26,2025-09-22,2025-09-25,2025-09-25,4,2,48,ma,2
79,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-10-26,2025-09-22,2025-09-25,2025-09-25,4,2,48,ma,2
80,xgboost,1,0.75,0.0,1,0,1,0.0,1.0,980,2021-10-25,2025-09-19,2025-09-24,2025-09-24,4,2,48,ma,2
80,random_forest,1,0.5,1.0,1,0,1,0.0,1.0,980,2021-10-25,2025-09-19,2025-09-24,2025-09-24,4,2,48,ma,2
81,xgboost,1,0.9,0.0,1,0,1,0.0,1.0,980,2021-10-22,2025-09-18,2025-09-23,2025-09-23,4,2,48,ma,2
81,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2021-10-22,2025-09-18,2025-09-23,2025-09-23,4,2,48,ma,2
82,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2021-10-21,2025-09-17,2025-09-22,2025-09-22,4,2,48,ma,2
82,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2021-10-21,2025-09-17,2025-09-22,2025-09-22,4,2,48,ma,2
83,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2021-10-20,2025-09-16,2025-09-19,2025-09-19,4,2,48,ma,2
