,r,pair,rank_score,weighted_precision,total_count,pos_count_ts,neg_count_ts,pos_acc_ts,neg_acc_ts,ks_ts,bal_accuracy,f1_ts,accuracy_ts,best_n_estimators,indicator_1,indicator_2
52,20,50_EMA_200 + MACD,0.4424704877098466,0.6084905660377359,424,221,203,0.7828054298642534,0.4187192118226601,0.3669482985815053,0.6007623208434567,0.67578125,0.6084905660377359,40,50_EMA_200,MACD
53,20,25_ESMA_200 + RSI_21,0.44172728715310494,0.7097902097902098,286,162,124,0.8024691358024691,0.5887096774193549,0.46871875822152065,0.6955894066109121,0.7580174927113702,0.7097902097902098,43,25_ESMA_200,RSI_21
54,20,25_ESMA_200 + Zscore_50,0.4386568009905061,0.6957928802588996,309,169,140,0.8165680473372781,0.55,0.4426478717523494,0.683284023668639,0.7459459459459459,0.6957928802588996,38,25_ESMA_200,Zscore_50
55,20,10_ESMA_200 + Vol_Ratio_25,0.43766743522690327,0.7157534246575342,292,159,133,0.8553459119496856,0.5488721804511278,0.45982142857142855,0.7021090462004067,0.7661971830985915,0.7157534246575342,47,10_ESMA_200,Vol_Ratio_25
56,20,100_ESMA_200 + MACD,0.43651536215029096,0.6644736842105263,304,197,107,0.7868020304568528,0.4392523364485981,0.342356937548994,0.6130271834527254,0.7524271844660194,0.6644736842105263,9,100_ESMA_200,MACD
57,20,10_SMA_100 + Vol_Ratio_100_MA25,0.43471199782030023,0.6730769230769231,312,182,130,0.7802197802197802,0.5230769230769231,0.38507625272331153,0.6516483516483517,0.7357512953367875,0.6730769230769231,88,10_SMA_100,Vol_Ratio_100_MA25
58,20,10_SMA_200 + Zscore_25,0.43307428449637464,0.6646884272997032,337,183,154,0.7814207650273224,0.525974025974026,0.3936333027242118,0.6536973955006742,0.7167919799498746,0.6646884272997032,42,10_SMA_200,Zscore_25
59,20,10_SMA_200 + DownVolume,0.43303802957194787,0.7087719298245614,285,162,123,0.8148148148148148,0.5691056910569106,0.4135135135135135,0.6919602529358626,0.7608069164265131,0.7087719298245614,30,10_SMA_200,DownVolume
60,30,50_ESMA_200 + Signal_Line,0.48854482052369125,0.6820276497695853,434,326,108,0.7607361963190185,0.4444444444444444,0.2875180375180375,0.6025903203817314,0.7823343848580442,0.6820276497695853,48,50_ESMA_200,Signal_Line
61,30,100_ESMA_200 + Signal_Line,0.4681411761410008,0.6931506849315069,365,271,94,0.7749077490774908,0.4574468085106383,0.38376805187150015,0.6161772787940646,0.7894736842105263,0.6931506849315069,48,100_ESMA_200,Signal_Line
62,30,num_days_200 + 50_ESMA_100,0.4306201428162861,0.7338709677419355,248,152,96,0.9078947368421053,0.4583333333333333,0.4901996370235935,0.6831140350877193,0.8070175438596492,0.7338709677419355,24,num_days_200,50_ESMA_100
63,30,ADX_MA10 + BB_Upper_EA50,0.4212369740590887,0.6942446043165468,278,192,86,0.8125,0.43023255813953487,0.3070497828265954,0.6213662790697674,0.7858942065491183,0.6942446043165468,120,ADX_MA10,BB_Upper_EA50
64,30,100_ESMA_200 + MACD,0.4167427166011771,0.673992673992674,273,176,97,0.7954545454545454,0.4536082474226804,0.38484455958549224,0.6245313964386129,0.7588075880758809,0.673992673992674,16,100_ESMA_200,MACD
65,30,25_SMA_200 + BB_Upper_EA25,0.4058247927396916,0.66996699669967,303,169,134,0.7869822485207101,0.5223880597014925,0.3695048367014654,0.6546851541111013,0.7267759562841529,0.66996699669967,44,25_SMA_200,BB_Upper_EA25
66,30,QQQ_SMA_100 + Median Volume,0.4051418240167172,0.6807692307692308,260,162,98,0.7839506172839507,0.5102040816326531,0.37546218487394956,0.6470773494583019,0.7537091988130563,0.6807692307692308,28,QQQ_SMA_100,Median Volume
67,30,QQQ_SMA_100 + RSI_21_EA50,0.402684752305387,0.691699604743083,253,163,90,0.8282208588957055,0.4444444444444444,0.33569157392686805,0.6363326516700749,0.7758620689655172,0.691699604743083,63,QQQ_SMA_100,RSI_21_EA50
68,30,10_ESMA_50 + ATR_7_EA50,0.401449634651624,0.638095238095238,315,195,120,0.7743589743589744,0.4166666666666667,0.2778954462308655,0.5955128205128205,0.7259615384615383,0.638095238095238,40,10_ESMA_50,ATR_7_EA50
69,30,num_days_200 + 25_SMA_100,0.40007286450412133,0.65,300,167,133,0.8263473053892215,0.42857142857142855,0.44403390567267986,0.627459366980325,0.7244094488188976,0.65,25,num_days_200,25_SMA_100
70,30,10_EMA_100 + DownVolume,0.39610015487862954,0.7072072072072072,222,142,80,0.8380281690140845,0.475,0.399551980450056,0.6565140845070423,0.7854785478547855,0.7072072072072072,50,10_EMA_100,DownVolume
