,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
2395,10,N,keep,RSI_7_slope25,0.5196741254631352,0.40217372387267447,0.6575865150450187,0.6686659475378233,0.09855438658660845,0.12400060367498174,0.04276358375682501,0.21340434048625978
2396,20,N,no_signal,RSI_7_slope25,0.4627223201068245,0.47719121804967835,0.6455634441953498,0.6162784339761412,0.05586671999569972,0.010476641841272708,0.07143253286007431,0.1647659348374732
2397,30,N,keep,RSI_7_slope25,0.5014535173569028,0.5547107930828861,0.6269835410537064,0.6199338591127326,0.037687130446828206,0.013971955529762202,0.05683341494596948,0.2282349433512224
2398,45,N,no_signal,RSI_7_slope25,0.49636918900576854,0.542607600912739,0.6058749346771382,0.5950992641462021,0.06394769857257276,0.030207670465316052,0.039687350081321744,0.21764104178141475
2399,60,N,no_signal,RSI_7_slope25,0.5336408646479569,0.47826754385964915,0.5794663208011074,0.5536526880393169,0.0319581457371614,0.049633762735082236,0.08471294027221138,0.16535087719298244
2400,90,N,no_signal,RSI_7_slope25,0.5030078870122764,0.5268420298165137,0.5115781365401367,0.42180523641580614,-0.053963973470800244,-0.04596345059807727,0.04842244639461664,0.2852637614678899
2401,5,N,no_signal,RSI_7_slope5,0.4894261846799622,0.5041631420941766,0.6763812568427272,0.6754498178380934,0.0007116898208321656,-0.0016013345275100383,0.03797135958079872,0.08404239438722197
2402,10,N,no_signal,RSI_7_slope5,0.5014826489995459,0.49195078229694217,0.6582421936997607,0.652736516858714,-5.9218290461759816e-05,0.0003097566002812899,0.02480123461610385,0.09276179536713135
2403,20,N,no_signal,RSI_7_slope5,0.4832595999197963,0.5020019355205981,0.6430027443659674,0.6163536038769459,0.003949434910606435,9.346276478261973e-05,0.05412900005546004,0.06309417636008273
2404,30,N,no_signal,RSI_7_slope5,0.48776032030559313,0.5069040697674418,0.6280898568431985,0.6211486303003175,-0.011471305447378252,-0.007351647548890264,0.04656573288516548,0.05992844364937388
2405,45,N,no_signal,RSI_7_slope5,0.5042100090097469,0.4902923125344245,0.6049747514977953,0.5970083126769724,-0.00037552230867784195,-0.0014095366239314786,0.03537905292348736,0.05991816822724054
2406,60,N,no_signal,RSI_7_slope5,0.525182297775493,0.5217434210526316,0.5799536606280694,0.5527913532431714,-0.001958464379100607,-0.0052399376357353585,0.06782824829431171,0.06271929824561404
2407,90,N,no_signal,RSI_7_slope5,0.5018984452700599,0.45557984518348627,0.511499134948595,0.42176529952983016,-0.002048880184710034,0.00024589213244930407,0.05298717944842305,0.13288417431192662
2408,5,N,no_signal,RSI_7_slope50,0.5020642188249649,0.5261896468793019,0.6763746948497618,0.6750776333148975,0.06183657771289533,0.040002106047109076,0.03236608244634117,0.09787530477185649
2409,10,N,keep,RSI_7_slope50,0.5245864919682139,0.6123061661358534,0.6575082818501803,0.6447044945481915,0.2563106041798057,0.16951635319840938,0.06733260861970823,0.2020571189891923
2410,20,N,keep,RSI_7_slope50,0.5200349398258555,0.6454961194709578,0.6423390308586526,0.6119022130412275,0.18164340116274724,0.07702488853789576,0.05362985968609617,0.3272737623104803
2411,30,N,keep,RSI_7_slope50,0.5019642425867292,0.623378801431127,0.6280160720507086,0.6181815627693366,0.18275853035504994,0.06315967890512299,0.03551368322627676,0.26170244484197974
2412,45,N,no_signal,RSI_7_slope50,0.5001778547441582,0.5036883311039421,0.6055455672484663,0.5968599436259349,0.09763784395473842,0.05567823054456927,0.039757555901384224,0.07935321425761271
2413,60,N,no_signal,RSI_7_slope50,0.49020757739856957,0.5137938596491228,0.5803641953763186,0.5531069865479016,-0.0606236676341036,-0.028368706303650276,0.05216137034023927,0.1307017543859649
2414,90,N,keep,RSI_7_slope50,0.5057860258708513,0.5542574541284404,0.5127620172841801,0.42043893509261343,-0.2622997793578235,-0.18976761611299403,0.049531888136833166,0.1992545871559633
