,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4255,90,N,no_signal,minus_DI_slope5,0.48186198786566986,0.4468714162844037,0.5121305955970583,0.4219585988076573,0.022674392260135717,-0.011191842768917203,0.06513964757842423,0.1381880733944954
4256,5,N,no_signal,minus_DI_slope50,0.5122540163913388,0.46691877726360487,0.6763325714183023,0.6756681339756615,0.020287698465631363,0.06677364528798153,0.06939566069810281,0.1212950523295351
4257,10,N,keep,minus_DI_slope50,0.48152185751362947,0.5858786264988949,0.6586943981785333,0.6520981081238327,-0.2741730273738165,-0.06636473169309223,0.0973143811815572,0.18534955359473712
4258,20,N,keep,minus_DI_slope50,0.4916959253934464,0.33257746826315493,0.6427025098569014,0.6181782626986031,-0.1618115258351215,0.1010994452870318,0.09882979313404693,0.3168750830186531
4259,30,N,keep,minus_DI_slope50,0.4592228556741463,0.3979762969588551,0.6282084997454861,0.6228399288815815,-0.21442207184150297,0.1634274714885932,0.1104628876692539,0.24709302325581395
4260,45,N,keep,minus_DI_slope50,0.5171173490282345,0.4222204736800692,0.604494258743033,0.6008120521653444,0.17748567011542676,0.4004659923336476,0.131071925862654,0.16460775828153276
4261,60,N,no_signal,minus_DI_slope50,0.5105523086060522,0.5106359649122807,0.5812978820511553,0.5545049555768762,0.8863671572265516,0.7624276230921999,0.09049007032376884,0.16842105263157894
4262,90,N,no_signal,minus_DI_slope50,0.5528526558584268,0.564453125,0.508303934924906,0.4192712676610634,1.0303061486961944,1.013443580129213,0.12745883426996013,0.2630447247706422
4263,5,N,keep,num_days_100,0.5104109286121854,0.6219004494866565,0.6762434400047921,0.6704581852536567,-0.001737065918893501,-0.0009077159440757318,0.049898615364264036,0.20429251463734222
4264,10,N,keep,num_days_100,0.5283768538249879,0.6513688021023686,0.6575563606190274,0.6439658846368869,-0.00233865619844181,-0.0013999674088985403,0.08689782154372222,0.256461128804887
4265,20,N,keep,num_days_100,0.5296177949940913,0.6987324237651569,0.6413772540350546,0.6107365439629359,-0.001633623960917243,-0.0007110309844064891,0.0611724252675947,0.3695326287026319
4266,30,N,keep,num_days_100,0.5445915195238844,0.20947935301132975,0.626725124309172,0.6319603275147426,-0.0002475165632101018,0.0009248672506856992,0.10269676215714384,0.45960047704233753
4267,45,N,keep,num_days_100,0.49994617553795206,0.20768746557557635,0.6049241764111137,0.6165078961840468,0.0001280226086039493,0.001841754885607511,0.03747118636134936,0.5106223935793532
