,r,class_balance,flag,indicator,Weighted_Accuracy,Balanced_Accuracy,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,ks_rs,ks_ts
2596,90,Y,keep,Vol_Spike_10,0.512,0.4069,0.5333875458362682,0.42517201834862384,0.6732165123198102,0.686938130414727,0.6839167935058346,0.6620498614958448,0.5618846694796061,0.512,0.5969884853852967,0.5481651376146789,1129,0.42662116040955633,0.265625,436,293,64,0.08053579687844811,0.20226490825688073
2597,5,Y,no_signal,Vol_Spike_10_EA10,0.492,0.496,0.5913863534503354,0.49773598049460116,0.6782369986959058,0.7590375885664591,0.6334733053389323,0.5261194029850745,0.5780386740331491,0.492,0.6161026837806302,0.47474747474747475,857,0.5228426395939086,0.5172413793103449,297,591,203,0.14950827958071974,0.058781576022955334
2598,10,Y,no_signal,Vol_Spike_10_EA10,0.482,0.4656,0.5872471636503374,0.4608242398927931,0.6773959464515035,0.7904584904167018,0.6335697399527187,0.5647058823529412,0.5712309820193637,0.482,0.5870755750273823,0.5233644859813084,913,0.5440900562851783,0.40782122905027934,321,533,179,0.14903345258913875,0.0999843366574427
2599,20,Y,no_signal,Vol_Spike_10_EA10,0.462,0.4831,0.6213092409226844,0.45274103872938765,0.6653414503834106,0.8658037954378889,0.6609392898052691,0.5272407732864676,0.5897435897435898,0.462,0.6080084299262382,0.4297994269340974,949,0.5546558704453441,0.5364238410596026,349,494,151,0.19128168154844435,0.13478434125884742
2600,30,Y,no_signal,Vol_Spike_10_EA10,0.46,0.4727,0.6333147950784257,0.49431648777579007,0.6532730956056712,0.8447580541992404,0.6976744186046512,0.527972027972028,0.6118055555555556,0.46,0.658835546475996,0.438953488372093,979,0.5119305856832972,0.5064102564102564,344,461,156,0.18913673033929437,0.07602862254025045
2601,45,Y,no_signal,Vol_Spike_10_EA10,0.464,0.4494,0.6321612861706235,0.4732866472578488,0.6535209773201522,0.7750369464155514,0.6877729257641921,0.5635179153094463,0.6016713091922006,0.464,0.6206896551724138,0.48324022346368717,1015,0.5558194774346793,0.4154929577464789,358,421,142,0.2088178509998479,0.12412463608466441
2602,60,Y,keep,Vol_Spike_10_EA10,0.45,0.4329,0.6393785654749724,0.42581140350877195,0.6390634357322864,0.814173107579012,0.751008064516129,0.5627980922098569,0.6547868623340322,0.45,0.7102001906577693,0.46578947368421053,1049,0.5026178010471204,0.4,380,382,120,0.22778362838704524,0.18026315789473685
2603,90,Y,keep,Vol_Spike_10_EA10,0.48,0.4019,0.6371687167658715,0.35398150802752293,0.6311093357952442,0.7993573933149032,0.7426580388252861,0.6296296296296297,0.6364275668073136,0.48,0.6607617360496014,0.5068807339449541,1129,0.5426621160409556,0.296875,436,293,64,0.21701829218523747,0.32726490825688076
2604,5,Y,no_signal,Vol_Spike_10_EA25,0.506,0.5125,0.591248146546703,0.5091638884742333,0.6770458372134152,0.7497032349378255,0.6366863905325444,0.5348399246704332,0.5759668508287292,0.506,0.6277712952158693,0.4781144781144781,857,0.5008460236886633,0.5467980295566502,297,591,203,0.14256239548102914,0.05062115406942993
2605,10,Y,no_signal,Vol_Spike_10_EA25,0.5,0.4858,0.6177971308738279,0.4660627577925129,0.667215495468376,0.7918437762639122,0.6555819477434679,0.579124579124579,0.598893499308437,0.5,0.6046002190580504,0.5358255451713395,913,0.5891181988742964,0.43575418994413406,321,533,179,0.20426649459855453,0.11878034772620477
2606,20,Y,no_signal,Vol_Spike_10_EA25,0.476,0.4931,0.6307822425480902,0.4611852217309626,0.6635392372240022,0.8728291002578331,0.6697513013302487,0.545138888888889,0.6042966042966043,0.476,0.6101159114857745,0.4498567335243553,949,0.5931174089068826,0.5364238410596026,349,494,151,0.22782984859408795,0.13338014004060797
2607,30,Y,no_signal,Vol_Spike_10_EA25,0.464,0.4879,0.6456475353353172,0.4979874776386404,0.6520568868501458,0.8389049577770177,0.7007061379684953,0.5214285714285714,0.6173611111111111,0.464,0.658835546475996,0.42441860465116277,979,0.5292841648590022,0.5512820512820513,344,461,156,0.21981791149940508,0.05754323196183661
2608,45,Y,no_signal,Vol_Spike_10_EA25,0.47,0.4642,0.6324783824579058,0.4834762766543394,0.6553476214969347,0.763695056345284,0.6929729729729729,0.5634266886326196,0.6044568245125348,0.47,0.6315270935960591,0.4776536312849162,1015,0.5391923990498813,0.4507042253521127,358,421,142,0.19824017411043376,0.10555511842001732
2609,60,Y,keep,Vol_Spike_10_EA25,0.458,0.4439,0.6331260387604251,0.4383223684210526,0.6425982361281611,0.801710570904939,0.7416750756811302,0.5691573926868044,0.6422082459818309,0.458,0.7006673021925643,0.4710526315789474,1049,0.4816753926701571,0.4166666666666667,380,382,120,0.1958858848367181,0.12456140350877193
2610,90,Y,keep,Vol_Spike_10_EA25,0.496,0.4111,0.6349271607662705,0.37034116972477066,0.6317362586676541,0.7807174556965686,0.7462981243830207,0.6450704225352113,0.6385372714486639,0.496,0.6696191319751993,0.5252293577981652,1129,0.5187713310580204,0.296875,436,293,64,0.22443069314413372,0.2955848623853211
2611,5,Y,no_signal,Vol_Spike_10_EA5,0.504,0.51,0.594394327988675,0.506120316465144,0.675411166857925,0.7518111601319174,0.6353919239904988,0.5338345864661653,0.5759668508287292,0.504,0.6242707117852976,0.4781144781144781,857,0.505922165820643,0.541871921182266,297,591,203,0.14915683916862624,0.05073725763380936
2612,10,Y,no_signal,Vol_Spike_10_EA5,0.486,0.4712,0.6062184949931055,0.47231069110148094,0.6721728641704271,0.7873321488496413,0.6475849731663685,0.566610455311973,0.5912863070539419,0.486,0.5947426067907996,0.5233644859813084,913,0.5853658536585366,0.41899441340782123,321,533,179,0.18827279097628788,0.07398318801232183
2613,20,Y,no_signal,Vol_Spike_10_EA5,0.472,0.4997,0.6221347423027862,0.46850983889637376,0.6637364180092417,0.8529027321533043,0.6635891517599538,0.5319148936170213,0.5959805959805959,0.472,0.6059009483667018,0.4297994269340974,949,0.5769230769230769,0.5695364238410596,349,494,151,0.19738228606289168,0.11918632232110667
2614,30,Y,no_signal,Vol_Spike_10_EA5,0.474,0.4951,0.6364101666448787,0.4970464370900417,0.650497137952334,0.8494703301415114,0.7004856988667026,0.5345132743362833,0.6145833333333334,0.474,0.6629213483146067,0.438953488372093,979,0.5119305856832972,0.5512820512820513,344,461,156,0.20696225951045713,0.04889683959451401
2615,45,Y,no_signal,Vol_Spike_10_EA5,0.476,0.4599,0.6292571054140388,0.47029664017625306,0.6545525560444329,0.7756623863485295,0.6881485527034408,0.576051779935275,0.6023676880222841,0.476,0.6206896551724138,0.4972067039106145,1015,0.5581947743467933,0.4225352112676056,358,421,142,0.20273334659443268,0.13919269808796916
2616,60,Y,keep,Vol_Spike_10_EA5,0.462,0.4408,0.6220334499573266,0.4437061403508772,0.6478397573243148,0.8008865537788606,0.7376387487386478,0.5763779527559055,0.636617749825297,0.462,0.6968541468064824,0.48157894736842105,1049,0.4712041884816754,0.4,380,382,120,0.21557055086120414,0.15
2617,90,Y,keep,Vol_Spike_10_EA5,0.476,0.3996,0.6322427349703896,0.3535514621559633,0.634434444189911,0.8015783267861241,0.7376804380288701,0.6257142857142859,0.629395218002813,0.476,0.6563330380868024,0.5022935779816514,1129,0.5255972696245734,0.296875,436,293,64,0.20426122365075863,0.33099197247706424
2618,5,Y,no_signal,Vol_Spike_10_EA50,0.506,0.5132,0.5914900086280596,0.5070574380919208,0.6776146222991964,0.7572182246162782,0.6231884057971014,0.5330812854442344,0.569060773480663,0.506,0.6021003500583431,0.47474747474747475,857,0.5211505922165821,0.5517241379310345,297,591,203,0.15096142645319624,0.03920983231328059
2619,10,Y,no_signal,Vol_Spike_10_EA50,0.484,0.4672,0.6053821288907978,0.4668198193494491,0.6698576246300642,0.7883542259349848,0.6394721055788842,0.5671140939597314,0.5843706777316736,0.484,0.583789704271632,0.5264797507788161,913,0.5853658536585366,0.40782122905027934,321,533,179,0.1766807978973715,0.06959745209627735
2620,20,Y,no_signal,Vol_Spike_10_EA50,0.494,0.5023,0.6210500718847456,0.46467674908442286,0.6640146840556046,0.8691721441397559,0.6670493685419059,0.5704584040747029,0.5980595980595981,0.494,0.6122233930453108,0.4813753581661891,949,0.5708502024291497,0.5231788079470199,349,494,151,0.1911984914868837,0.1265678665629329
2621,30,Y,no_signal,Vol_Spike_10_EA50,0.47,0.487,0.6505354305934383,0.49752161598091826,0.6523245743105115,0.8423715485162055,0.705114254624592,0.5342706502636203,0.6236111111111111,0.47,0.6618998978549541,0.4418604651162791,979,0.5422993492407809,0.532051282051282,344,461,156,0.21728533476321626,0.052176505664877755
2622,45,Y,no_signal,Vol_Spike_10_EA50,0.462,0.4522,0.6266267273556978,0.4627232669761586,0.655428800409097,0.7853031672851765,0.6996770721205597,0.5582922824302133,0.6114206128133705,0.462,0.6403940886699507,0.4748603351955307,1015,0.5415676959619953,0.4295774647887324,358,421,142,0.20026444192223536,0.13057675662916043
2623,60,Y,keep,Vol_Spike_10_EA50,0.454,0.4412,0.6367869673935287,0.44714912280701746,0.6448367073152843,0.8102907945670311,0.746854554604932,0.5645933014354068,0.6484975541579315,0.454,0.7073403241182078,0.46578947368421053,1049,0.4869109947643979,0.4166666666666667,380,382,120,0.20104662131474005,0.1513157894736842
2624,90,Y,keep,Vol_Spike_10_EA50,0.494,0.3899,0.636604926888696,0.3485521788990826,0.6307858306536018,0.7915841705084656,0.7430830039525692,0.6461538461538461,0.6343178621659634,0.494,0.6660761736049602,0.5298165137614679,1129,0.5119453924914675,0.25,436,293,64,0.22030127238155123,0.3259747706422018
2625,5,Y,no_signal,Vol_Spike_10_MA10,0.48,0.4851,0.5960360285653926,0.49436897712759786,0.6750464371059721,0.7614026829827991,0.6183574879227053,0.5112781954887217,0.56353591160221,0.48,0.5974329054842473,0.45791245791245794,857,0.5143824027072758,0.5123152709359606,297,591,203,0.14406885073062092,0.042593421903766734
2626,10,Y,no_signal,Vol_Spike_10_MA10,0.48,0.464,0.6088385607927189,0.45132181207469674,0.6707943035667354,0.7905989139244877,0.6395696353855349,0.5622895622895623,0.58298755186722,0.48,0.5859802847754655,0.5202492211838006,913,0.5778611632270169,0.40782122905027934,321,533,179,0.17894330177609638,0.09116065368349606
2627,20,Y,no_signal,Vol_Spike_10_MA10,0.478,0.4927,0.6203728194605018,0.47016072411241194,0.6669203568532596,0.8615155295296135,0.67390062821245,0.5492227979274611,0.6042966042966043,0.478,0.6217070600632244,0.45558739255014324,949,0.5708502024291497,0.5298013245033113,349,494,151,0.1968831456935278,0.12924343915444317
2628,30,Y,no_signal,Vol_Spike_10_MA10,0.48,0.489,0.6329990538842815,0.5060748360166964,0.6534114604658003,0.8285108668870274,0.6963997850617948,0.5517241379310345,0.6076388888888888,0.48,0.6618998978549541,0.46511627906976744,979,0.4924078091106291,0.5128205128205128,344,461,156,0.1834888404875487,0.059481216457960645
2629,45,Y,no_signal,Vol_Spike_10_MA10,0.486,0.4711,0.6299135298316231,0.4745259265087734,0.6542879546552398,0.7732242919298405,0.696969696969697,0.5848142164781905,0.6100278551532033,0.486,0.6344827586206897,0.505586592178771,1015,0.5510688836104513,0.43661971830985913,358,421,142,0.19673776956109662,0.12377055629868597
2630,60,Y,no_signal,Vol_Spike_10_MA10,0.468,0.4561,0.6416956562969469,0.4599561403508772,0.6391624957777109,0.795458227880346,0.7548483341621083,0.5777777777777778,0.6554856743535988,0.468,0.7235462345090562,0.4789473684210526,1049,0.468586387434555,0.43333333333333335,380,382,120,0.21154777174970926,0.10789473684210527
2631,90,Y,keep,Vol_Spike_10_MA10,0.494,0.4099,0.6319253197580388,0.36095183486238536,0.6335694184704226,0.7869143033421203,0.7469287469287469,0.6431593794076164,0.6378340365682138,0.494,0.6731620903454384,0.5229357798165137,1129,0.5017064846416383,0.296875,436,293,64,0.20679752234754245,0.2922878440366973
2632,5,Y,no_signal,Vol_Spike_10_MA25,0.484,0.4877,0.5841067983975896,0.4964754275099102,0.6796029106584245,0.755838569871422,0.6212664277180406,0.5186567164179104,0.5621546961325967,0.484,0.6067677946324388,0.468013468013468,857,0.49746192893401014,0.5073891625615764,297,591,203,0.12991646379867597,0.03947521188900499
2633,10,Y,no_signal,Vol_Spike_10_MA25,0.476,0.4523,0.6124737736550843,0.45303607789902367,0.6679376656742738,0.7868463784811868,0.6469544648137197,0.5676567656765676,0.5871369294605809,0.476,0.5991237677984665,0.5358255451713395,913,0.5666041275797373,0.3687150837988827,321,533,179,0.1795597878465936,0.11126194329869994
2634,20,Y,no_signal,Vol_Spike_10_MA25,0.482,0.4956,0.6252810330925799,0.47334864039165825,0.6656865006083488,0.8544910392971097,0.6666666666666666,0.5542168674698795,0.5980595980595981,0.482,0.6111696522655427,0.46131805157593125,949,0.5728744939271255,0.5298013245033113,349,494,151,0.19660584548832566,0.08250630941763601
2635,30,Y,no_signal,Vol_Spike_10_MA25,0.478,0.484,0.6455677691389018,0.49459600477042337,0.6490221248140131,0.8416112469466454,0.7169609416800429,0.5523156089193825,0.6326388888888889,0.478,0.6843718079673136,0.4680232558139535,979,0.5227765726681128,0.5,344,461,156,0.21440267305387098,0.08765652951699464
2636,45,Y,no_signal,Vol_Spike_10_MA25,0.472,0.4635,0.6319892819114705,0.4803289007789755,0.654977124252803,0.7774596999938544,0.6934782608695652,0.5672131147540983,0.6072423398328691,0.472,0.6285714285714286,0.48324022346368717,1015,0.5558194774346793,0.44366197183098594,358,421,142,0.2096837227806185,0.10771893933433001
2637,60,Y,keep,Vol_Spike_10_MA25,0.466,0.4377,0.6376566563019379,0.43578947368421056,0.6424055185830889,0.7995022271255208,0.7491201608848667,0.5834633385335413,0.6512928022361985,0.466,0.7102001906577693,0.4921052631578947,1049,0.4895287958115183,0.38333333333333336,380,382,120,0.2146646769049556,0.15263157894736842
2638,90,Y,keep,Vol_Spike_10_MA25,0.514,0.408,0.6381799109423604,0.3514191513761468,0.6295950517414717,0.7787451316753776,0.7567567567567569,0.6639004149377594,0.6518987341772152,0.514,0.6820194862710364,0.5504587155963303,1129,0.5358361774744027,0.265625,436,293,64,0.23247490152570913,0.32726490825688076
2639,5,Y,no_signal,Vol_Spike_10_MA5,0.506,0.5078,0.5936914471644879,0.5099434409779238,0.6766893044714765,0.7508056087149215,0.6244725738396624,0.5451197053406998,0.5697513812154696,0.506,0.6044340723453909,0.4983164983164983,857,0.5194585448392555,0.5172413793103449,297,591,203,0.15027631508804767,0.05236270753512133
2640,10,Y,no_signal,Vol_Spike_10_MA5,0.484,0.4721,0.5950128331850342,0.46364364155310744,0.6754625338255694,0.7875023321977279,0.6316417910447761,0.5612244897959183,0.5733056708160442,0.484,0.579408543263965,0.514018691588785,913,0.5628517823639775,0.4301675977653631,321,533,179,0.15699639766639473,0.0818496667188778
2641,20,Y,no_signal,Vol_Spike_10_MA5,0.478,0.4908,0.6074346318093199,0.46228581187498813,0.6684500987622377,0.8648511449835189,0.6601382488479263,0.5507745266781412,0.5911295911295912,0.478,0.6037934668071654,0.4584527220630373,949,0.5668016194331984,0.5231788079470199,349,494,151,0.17650158061116966,0.10740241750317843
